country;region;population;area;median_age;perc_urban_pop;world_share
Saint Helena;SUB-SAHARAN AFRICA;6080;390;N.A.;27%;0,00%
Saint Kitts and Nevis;LATIN AMER. & CARIB;53264;260;N.A.;33%;0,00%
Saint Lucia;LATIN AMER. & CARIB;183774;610;34;19%;0,00%
Saint Martin;LATIN AMER. & CARIB;38778;53;N.A.;0%;0,00%
Saint Pierre & Miquelon;NORTHERN AMERICA;5789;230;N.A.;100%;0,00%
Samoa;OCEANIA;198643;2830;22;18%;0,00%
San Marino;WESTERN EUROPE;33944;60;N.A.;97%;0,00%
Sao Tome & Principe;SUB-SAHARAN AFRICA;219844;960;19;74%;0,00%
Saudi Arabia;NEAR EAST;34905942;2149690;32;84%;0,45%
Senegal;SUB-SAHARAN AFRICA;16816539;192530;19;49%;0,21%
Serbia;EASTERN EUROPE;8731081;87460;42;56%;0,11%
Seychelles;SUB-SAHARAN AFRICA;98453;460;34;56%;0,00%
Sierra Leone;SUB-SAHARAN AFRICA;8004158;72180;19;43%;0,10%
Singapore;ASIA (EX. NEAR EAST);5858322;700;42;N.A.;0,08%
Saint Vincent and the Grenadines;LATIN AMER. & CARIB;111002;390;33;53%;0,00%
Slovakia;EASTERN EUROPE;5460109;48088;41;54%;0,07%
Slovenia;EASTERN EUROPE;2078989;20140;45;55%;0,03%
Solomon Islands;OCEANIA;689671;27990;20;23%;0,01%
Somalia;SUB-SAHARAN AFRICA;15965848;627340;17;47%;0,20%
South Africa;SUB-SAHARAN AFRICA;59436725;1213090;28;67%;0,76%
Sint Maarten;LATIN AMER. & CARIB;42960;34;N.A.;96%;0,00%
South Korea;ASIA (EX. NEAR EAST);51276977;97230;44;82%;0,66%
Spain;WESTERN EUROPE;46757980;498800;45;80%;0,60%
Sri Lanka;ASIA (EX. NEAR EAST);21428970;62710;34;18%;0,27%
South Sudan;SUB-SAHARAN AFRICA;11216250;610952;19;25%;0,14%
State of Palestine;NEAR EAST;5121112;6020;21;80%;0,07%
Sudan;SUB-SAHARAN AFRICA;44019263;1765048;20;35%;0,56%
Suriname;LATIN AMER. & CARIB;587541;156000;29;65%;0,01%
Sweden;WESTERN EUROPE;10110233;410340;41;88%;0,13%
Switzerland;WESTERN EUROPE;8665615;39516;43;74%;0,11%
Syria;NEAR EAST;17571053;183630;26;60%;0,22%
Taiwan;ASIA (EX. NEAR EAST);23824369;35410;42;79%;0,31%
Tajikistan;C.W. OF IND. STATES;9573310;139960;22;27%;0,12%
Tanzania;SUB-SAHARAN AFRICA;60012400;885800;18;37%;0,77%
Thailand;ASIA (EX. NEAR EAST);69830779;510890;40;51%;0,90%
Timor-Leste;ASIA (EX. NEAR EAST);1322667;14870;21;33%;0,02%
Togo;SUB-SAHARAN AFRICA;8310934;54390;19;43%;0,11%
Tokelau;OCEANIA;1360;10;N.A.;0%;0,00%
Tonga;OCEANIA;105901;720;22;24%;0,00%
Trinidad and Tobago;LATIN AMER. & CARIB;1400283;5130;36;52%;0,02%
Tunisia;NORTHERN AFRICA;11839918;155360;33;70%;0,15%
Turkey;NEAR EAST;84495243;769630;32;76%;1,08%
Turkmenistan;C.W. OF IND. STATES;6046292;469930;27;53%;0,08%
Turks and Caicos Islands;LATIN AMER. & CARIB;38806;950;N.A.;89%;0,00%
Tuvalu;OCEANIA;11817;30;N.A.;62%;0,00%
U.S. Virgin Islands;LATIN AMER. & CARIB;104398;350;43;96%;0,00%
Uganda;SUB-SAHARAN AFRICA;45974931;199810;17;26%;0,59%
Ukraine;C.W. OF IND. STATES;43686577;579320;41;69%;0,56%
United Arab Emirates;NEAR EAST;9910892;83600;33;86%;0,13%
United Kingdom;WESTERN EUROPE;67948282;241930;40;83%;0,87%
United States;NORTHERN AMERICA;331341050;9147420;38;83%;4,25%
Uruguay;LATIN AMER. & CARIB;3475842;175020;36;96%;0,04%
Uzbekistan;C.W. OF IND. STATES;33551824;425400;28;50%;0,43%
Vanuatu;OCEANIA;308337;12190;21;24%;0,00%
Venezuela;LATIN AMER. & CARIB;28421581;882050;30;N.A.;0,36%
Vietnam;ASIA (EX. NEAR EAST);97490013;310070;32;38%;1,25%
Wallis & Futuna;OCEANIA;11203;140;N.A.;0%;0,00%
Western Sahara;NORTHERN AFRICA;599769;266000;28;87%;0,01%
Yemen;NEAR EAST;29935468;527970;20;38%;0,38%
Zambia;SUB-SAHARAN AFRICA;18468257;743390;18;45%;0,24%
Zimbabwe;SUB-SAHARAN AFRICA;14899771;386850;19;38%;0,19%
